"scet","name","value","unit"
"2025-349T09:00:00","Fault",1,"none"
"2025-349T10:00:00","Fault",1,"none"
"2025-349T12:00:00","Fault",1,"none"
"2025-349T08:58:00","Voltage",6.44371288457277,"volts"
"2025-349T08:59:00","Voltage",4.203146653914821,"volts"
"2025-349T09:00:00","Voltage",5.290871132440182,"volts"
"2025-349T09:01:00","Voltage",2.1612519250667517,"volts"
"2025-349T09:02:00","Voltage",3.768844225587726,"volts"
"2025-349T09:03:00","Voltage",6.043428733039704,"volts"
"2025-349T09:04:00","Voltage",7.157230067115926,"volts"
"2025-349T09:05:00","Voltage",6.272844330826414,"volts"
"2025-349T09:06:00","Voltage",8.842967465760584,"volts"
"2025-349T09:07:00","Voltage",1.1375071575743947,"volts"
"2025-349T09:08:00","Voltage",9.613092234486116,"volts"
"2025-349T09:09:00","Voltage",2.42136999077224,"volts"
"2025-349T09:10:00","Voltage",1.763291890276205,"volts"
"2025-349T09:11:00","Voltage",9.839548931269782,"volts"
"2025-349T09:12:00","Voltage",2.4606613971647127,"volts"
"2025-349T09:13:00","Voltage",0.5423474102325168,"volts"
"2025-349T09:14:00","Voltage",9.879191553845027,"volts"
"2025-349T09:15:00","Voltage",6.656217371479179,"volts"
"2025-349T09:16:00","Voltage",0.8335386718121979,"volts"
"2025-349T09:17:00","Voltage",6.807186365875337,"volts"
"2025-349T09:18:00","Voltage",5.520759694547615,"volts"
"2025-349T09:19:00","Voltage",2.703800893298099,"volts"
"2025-349T09:20:00","Voltage",1.92754018166323,"volts"
"2025-349T09:21:00","Voltage",1.8336226331322876,"volts"
"2025-349T09:22:00","Voltage",2.4093299557651386,"volts"
"2025-349T09:23:00","Voltage",8.287124999275171,"volts"
"2025-349T09:24:00","Voltage",4.6145822124880675,"volts"
"2025-349T09:25:00","Voltage",6.259964076709295,"volts"
"2025-349T09:26:00","Voltage",4.073479439388195,"volts"
"2025-349T09:27:00","Voltage",4.422625854871586,"volts"
"2025-349T09:28:00","Voltage",1.377431111355522,"volts"
"2025-349T09:29:00","Voltage",8.59752522976926,"volts"
"2025-349T09:30:00","Voltage",3.718126108627318,"volts"
"2025-349T09:31:00","Voltage",2.7308265581722835,"volts"
"2025-349T09:32:00","Voltage",7.339710782102131,"volts"
"2025-349T09:33:00","Voltage",1.2842688938155662,"volts"
"2025-349T09:34:00","Voltage",7.837593473488629,"volts"
"2025-349T09:35:00","Voltage",8.280986716720218,"volts"
"2025-349T09:36:00","Voltage",1.0413810683938611,"volts"
"2025-349T09:37:00","Voltage",5.8162535354617395,"volts"
"2025-349T09:38:00","Voltage",4.265551390699351,"volts"
"2025-349T09:39:00","Voltage",6.514196805050604,"volts"
"2025-349T09:40:00","Voltage",4.832875641006539,"volts"
"2025-349T09:41:00","Voltage",3.2071819824854213,"volts"
"2025-349T09:42:00","Voltage",3.7498781245544346,"volts"
"2025-349T09:43:00","Voltage",7.386996640770379,"volts"
"2025-349T09:44:00","Voltage",5.97930230383252,"volts"
