"scet","name","value"
"2025-349T18:26:00","Voltage",45.476552763001735
"2025-349T18:27:00","Voltage",48.06532451146964
"2025-349T18:28:00","Voltage",53.50639162087697
"2025-349T18:29:00","Voltage",51.30014820766453
"2025-349T18:30:00","Voltage",54.85950691482456
"2025-349T18:31:00","Voltage",50.51792974925621
"2025-349T18:32:00","Voltage",49.996733068285046
"2025-349T18:33:00","Voltage",54.57844276556152
"2025-349T18:34:00","Voltage",54.46727497919202
"2025-349T18:35:00","Voltage",49.98767007431061
"2025-349T18:36:00","Voltage",48.136785984929986
"2025-349T18:37:00","Voltage",45.34107321665496
"2025-349T18:38:00","Voltage",52.70355405901923
"2025-349T18:39:00","Voltage",50.09335302069371
"2025-349T18:40:00","Voltage",50.35691603275666
"2025-349T18:41:00","Voltage",50.001670346089426
"2025-349T18:42:00","Voltage",48.254922893641044
"2025-349T18:43:00","Voltage",51.94365759125705
"2025-349T18:44:00","Voltage",52.496900420824964
"2025-349T18:45:00","Voltage",47.226163013517045
"2025-349T18:46:00","Voltage",47.6831744845688
"2025-349T18:47:00","Voltage",53.347535323870886
"2025-349T18:48:00","Voltage",51.46321273297082
"2025-349T18:49:00","Voltage",48.990046515895536
"2025-349T18:50:00","Voltage",46.23376194049475
"2025-349T18:51:00","Voltage",49.30072180273203
"2025-349T18:52:00","Voltage",52.55103025688155
"2025-349T18:53:00","Voltage",52.44900138382807
"2025-349T18:54:00","Voltage",49.61708635326666
"2025-349T18:55:00","Voltage",45.81690091234656
"2025-349T18:56:00","Voltage",50.2193994329563
"2025-349T18:57:00","Voltage",50.1635701870669
"2025-349T18:58:00","Voltage",44.5640588312729
"2025-349T18:59:00","Voltage",48.2925752708778
"2025-349T19:00:00","Voltage",45.13753718442474
"2025-349T19:01:00","Voltage",51.67901094059064
"2025-349T19:02:00","Voltage",52.161367950225305
"2025-349T19:03:00","Voltage",46.456501968278964
"2025-349T19:04:00","Voltage",49.78319196800879
"2025-349T19:05:00","Voltage",53.39049100417509
"2025-349T19:06:00","Voltage",52.68783616771675
"2025-349T19:07:00","Voltage",46.04091623340432
"2025-349T19:08:00","Voltage",45.51917387749184
"2025-349T19:09:00","Voltage",51.39858342009137
"2025-349T19:10:00","Voltage",54.01979836177986
"2025-349T19:11:00","Voltage",52.466989141100605
"2025-349T19:12:00","Voltage",51.19151854571004
"2025-349T19:13:00","Voltage",46.52670622007274
"2025-349T19:14:00","Voltage",48.93545968831575
"2025-349T19:15:00","Voltage",49.606435200055444
"2025-349T19:16:00","Voltage",54.31636903246819
"2025-349T19:17:00","Voltage",53.79948264500869
"2025-349T19:18:00","Voltage",55.05035376043272
"2025-349T19:19:00","Voltage",46.76005905173377
"2025-349T19:20:00","Voltage",52.2012352105033
"2025-349T19:21:00","Voltage",45.76886170115115
"2025-349T19:22:00","Voltage",47.81833627317552
"2025-349T19:23:00","Voltage",52.80387421246554
"2025-349T19:24:00","Voltage",47.941441164690794
"2025-349T19:25:00","Voltage",48.00766091363745
"2025-349T19:26:00","Voltage",50.386543848296675
"2025-349T19:27:00","Voltage",48.282685022078326
"2025-349T19:28:00","Voltage",50.42479759741746
"2025-349T19:29:00","Voltage",54.62313428812135
"2025-349T19:30:00","Voltage",49.62515951948857
"2025-349T19:31:00","Voltage",47.40632114023513
"2025-349T19:32:00","Voltage",53.59099823073963
"2025-349T19:33:00","Voltage",47.32889523209707
"2025-349T19:34:00","Voltage",53.283243575529475
"2025-349T19:35:00","Voltage",51.416115820096024
"2025-349T19:36:00","Voltage",52.18368937038091
"2025-349T19:37:00","Voltage",42.75763503413191
"2025-349T19:38:00","Voltage",48.37489425868915
"2025-349T19:39:00","Voltage",52.324535041799614
"2025-349T19:40:00","Voltage",46.05820330769062
"2025-349T19:41:00","Voltage",50.33715124017559
"2025-349T19:42:00","Voltage",49.23925143387042
"2025-349T19:43:00","Voltage",46.69419403263688
"2025-349T19:44:00","Voltage",48.044028359334234
"2025-349T19:45:00","Voltage",52.22497485666536
"2025-349T19:46:00","Voltage",45.53807839105472
"2025-349T19:47:00","Voltage",53.677367515030234
"2025-349T19:48:00","Voltage",47.94911086405374
"2025-349T19:49:00","Voltage",49.612218585002815
"2025-349T19:50:00","Voltage",54.92078976757098
"2025-349T19:51:00","Voltage",48.76681458060209
"2025-349T19:52:00","Voltage",47.93995590563865
"2025-349T19:53:00","Voltage",52.742846362620696
"2025-349T19:54:00","Voltage",50.13103444531807
"2025-349T19:55:00","Voltage",51.57485754003521
"2025-349T19:56:00","Voltage",50.50053572150274
"2025-349T19:57:00","Voltage",49.54374329230876
"2025-349T19:58:00","Voltage",51.32979955690154
"2025-349T19:59:00","Voltage",48.83220712382932
"2025-349T20:00:00","Voltage",46.36877907968521
"2025-349T20:01:00","Voltage",50.40075943040517
"2025-349T20:02:00","Voltage",50.19918497873074
"2025-349T20:03:00","Voltage",56.27318270507284
"2025-349T20:04:00","Voltage",49.2466389084475
"2025-349T20:05:00","Voltage",44.71169233897835
"2025-349T20:06:00","Voltage",57.633826666282765
"2025-349T20:07:00","Voltage",54.885539946598755
"2025-349T20:08:00","Voltage",51.492809767868685
"2025-349T20:09:00","Voltage",46.35030140617991
"2025-349T20:10:00","Voltage",49.09868056624007
"2025-349T20:11:00","Voltage",49.59388951910149
"2025-349T20:12:00","Voltage",47.846491470259046
"2025-349T20:13:00","Voltage",47.57962893890613
"2025-349T20:14:00","Voltage",51.28427923511581
"2025-349T20:15:00","Voltage",47.22655223364543
"2025-349T20:16:00","Voltage",46.58804894461883
"2025-349T20:17:00","Voltage",45.021371124753024
"2025-349T20:18:00","Voltage",49.88731062683153
"2025-349T20:19:00","Voltage",51.428206048966345
"2025-349T20:20:00","Voltage",44.23433614643157
"2025-349T20:21:00","Voltage",50.66924622429487
"2025-349T20:22:00","Voltage",50.554556608033366
"2025-349T20:23:00","Voltage",46.661880404756026
"2025-349T20:24:00","Voltage",49.8662227720261
"2025-349T20:25:00","Voltage",44.985137147934466
"2025-349T20:26:00","Voltage",48.72032463133392
"2025-349T20:27:00","Voltage",51.38271126009152
"2025-349T20:28:00","Voltage",50.99464662256376
"2025-349T20:29:00","Voltage",50.63755033335638
"2025-349T20:30:00","Voltage",49.02471730067013
